"entry_id";"resource_id";"resource_name";"HAC_resource_name";"group_id";"cluster_id";"node_id";"event_date";"current_state";"critical_factor";"failure_repetition";"redundancy_factor";"aggeregated_failure_count";"reinitialization_factor";"dependency_type";"dependency_levels_up";"dependency_levels_down"
179;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 12:16:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
180;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 12:31:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
181;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 12:46:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
182;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 13:01:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
183;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 13:16:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
184;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 13:31:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
185;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 13:46:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
186;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 14:01:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
187;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 14:16:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
188;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 14:31:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
